explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_base_service,dt_distance_pressure,-0.0883170748899946,0.0883170748899946,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_demand_pressure,-0.08380242928171103,0.08380242928171103,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_structural_exposure,0.045703410850242286,0.045703410850242286,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_cost_sensitivity,0.04165141054597715,0.04165141054597715,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_payment_pressure,-0.028786864810802094,0.028786864810802094,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_value_pressure,-0.009183398367608852,0.009183398367608852,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_base_resilience,-0.9344628903213821,0.9344628903213821,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_resilience_gap,0.9344628903213821,0.9344628903213821,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_graph_context,0.8662159297128574,0.8662159297128574,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_structural_exposure,0.856406957604558,0.856406957604558,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_resilience_pressure,0.794769281245669,0.794769281245669,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_distance_pressure,-0.5466804984675282,0.5466804984675282,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_base_cost,-0.4969591622413301,0.4969591622413301,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_cost_graph_pressure,-0.4638801486336451,0.4638801486336451,moderate_negative,Step 20 actual digital-twin state dataset
