alpha,w_low,w_moderate,w_high,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.7,1.3,1.3,1.3,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.5,1.5,1.5,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.15,1.15,0.9935400582150224,0.9935552261851712,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,1.3,0.9935394867766183,0.9935392796428125,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.15,1.5,0.9935394867766183,0.9935392796428125,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,0.85,1.0,0.993539211686564,0.9935443790174739,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.0,1.0,0.9935385238111131,0.9935523522886535,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.3,1.3,0.9935385238111131,0.9935523522886535,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.15,0.85,0.9935384061789782,0.9935624214921699,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.7,0.7,0.9935380321446466,0.9935515095515691,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.7,1.0,0.9935379692736435,0.9935289942998381,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,0.85,1.15,0.9935377233499604,0.9935308093198136,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.85,1.5,0.9935373562058286,0.9935140200403706,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.15,1.5,0.9935336496745105,0.993531565463247,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.15,1.0,0.993508477486424,0.993533129684082,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.7,0.85,0.7,0.9935068935541994,0.9935323517199014,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.15,1.3,0.9935061581066288,0.9935145683368196,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.15,1.3,0.9935040743431017,0.9935120401255668,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.3,1.0,0.9935033435976323,0.9935265821061184,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.0,0.85,0.9935029011076958,0.9935236434366973,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,1.0,1.5,0.9935020141843373,0.9934874937144023,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.7,0.7,0.9935019585656684,0.9935165776755056,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,1.15,0.9935019241224069,0.9935071350696155,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.3,1.5,0.9935019241224069,0.9935071350696155,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,0.85,0.85,0.9935010850444148,0.9935148274284336,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,1.5,0.9935001712229931,0.9934855921007758,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.0,1.15,0.9935000136395221,0.9935045420854594,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.3,1.5,0.9935000136395221,0.9935045420854594,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.85,1.3,0.9934999532714938,0.9934841227660652,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.7,0.7,1.0,0.993499698651747,0.9934859377860407,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.7,0.85,0.9934992905585959,0.9935022300136644,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.0,1.5,0.9934992621943053,0.9934829991166194,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,1.5,0.9934986328624199,0.9934850950489564,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.0,1.3,0.9934963476887426,0.9934943215153885,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.3,0.7,0.9934785243899317,0.9935255962949533,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.5,0.85,0.9934765226668185,0.9935179039361355,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,0.7,0.9934710190029032,0.9935009632901379,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.15,1.15,0.9934707248172985,0.9934897274850197,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.3,0.85,0.9934693340475271,0.993498996903608,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,1.15,0.9934680091162496,0.9934755093689857,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.85,1.5,0.9934677345867851,0.9934438106029785,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.15,1.3,0.9934664565530156,0.9934733916159012,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.85,1.3,0.9934660639012535,0.9934537502606878,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,0.85,0.7,0.9934656966138408,0.9934875879111879,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.85,1.15,0.9934654180642499,0.9934627605876619,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.7,0.7,0.85,0.9934653733592281,0.9934660449423482,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.15,1.0,0.9934652654477621,0.993485491978851,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.15,1.3,0.9934650775783797,0.9934728297911785,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,1.5,0.9934647118556167,0.9934534693483265,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.15,1.15,0.9934641373812584,0.993478145305298,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.15,1.0,0.993463792146222,0.9934829637675983,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.7,0.85,0.9934632274688852,0.9934672981376008,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,0.85,1.0,0.9934625576006283,0.9934670172252394,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,0.85,1.3,0.9934620605333908,0.993447289276375,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,0.85,1.3,0.9934618873222846,0.9934425355869784,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,0.85,1.15,0.9934581665776362,0.9934544845833737,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.5,1.0,0.9934383133823644,0.9934725571712906,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.5,1.0,0.9934345261646894,0.9934663770993392,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,1.0,1.15,0.9934323188416926,0.9934403613534641,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.0,1.15,0.9934295232853533,0.9934358667556813,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.3,1.5,0.9934293066584888,0.9934343974209706,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.0,0.7,0.9934276669831403,0.9934530664932928,XGBoost-RGC,XGBoost,RGC-RiskIndicator
