node_id,rgc_degree,rgc_weighted_degree,rgc_pagerank
seller::dd58ee93286b0821565574c570e9e1dc,8.0,10.0,1.291510088894052e-05
seller::820c7c9eaf76d2b226b6c242bcf3f34d,5.0,5.0,7.88429714748052e-06
seller::e1bed63d68ac36fe1f3061befe196af5,5.0,5.0,9.313646861679762e-06
seller::1bb2bdb95f4841f1bba2c0d2cd83d3c9,42.0,280.0,0.00014147295022765632
seller::0b36063d5818f81ccb94b54adfaebbf5,5.0,75.0,3.4398101579447014e-05
seller::c13fb473e7cb8b83ccd543c094df0608,9.0,10.0,1.2882224444681458e-05
seller::c53bcd3be457a342a97e39e5a9f0be22,10.0,15.0,2.7381807811363484e-05
seller::48985c61529077fa4f1e38bcff0f2ed3,14.0,35.0,2.1927884955501252e-05
seller::75fbb52eda0cbc24f479d3b2fbfa8d3e,63.0,205.0,0.00017674097236230858
seller::19e0f40a907ec568c34bfac15de4f4a1,7.0,20.0,1.4846981375511132e-05
seller::6df688df543f90e9b38f4319e75a9d88,46.0,280.0,0.00014509590331551915
seller::fe19dce63ae80346207c6c55713d1023,5.0,5.0,9.360016245551555e-06
seller::cc419e0650a3c5ba77189a1882b7556a,89.0,8035.0,0.002888883949323235
seller::16090f2ca825584b5a147ab24aa30c86,52.0,870.0,0.0003533434308547579
seller::b6dc74ed30f124f95227bed4e43a3bed,16.0,65.0,4.0519950925934996e-05
seller::820cc752a266cdc6c1a1e61dd4583330,16.0,70.0,3.782601304678384e-05
seller::9bcdfa7b615b3abb9461d9e3ad9886ae,25.0,95.0,5.724894600388707e-05
seller::3a52d63a8f9daf5a28f3626d7eb9bd28,5.0,5.0,9.395049417836372e-06
seller::6b9b80d53ba3676eafe60268a810b5a1,19.0,50.0,2.908996788812558e-05
seller::cfb1a033743668a192316f3c6d1d2671,82.0,770.0,0.0003631410488764668
seller::1d29dfba02015238dfbe2449a5eaa361,11.0,50.0,2.8594602383579695e-05
seller::6b15924333bd1a741595fe981ea04822,19.0,105.0,5.1342678405230766e-05
seller::e067ad2c1c0b48758eb1b5228bcf7a68,46.0,170.0,0.00010620571210932733
seller::0bb738e4d789e63e2267697c42d35a2d,27.0,140.0,6.206997255190434e-05
seller::2059c39f76271d4ca3f15b5ffaccc8b8,13.0,60.0,3.275511483771488e-05
seller::b4ffb71f0cb1b1c3d63fad021ecf93e1,116.0,600.0,0.0003591400930308716
seller::c8e135e7b21ecbc36c1153a29d2f5a06,11.0,35.0,2.664450714084551e-05
seller::79ee721b6f766066a80264402548d359,7.0,10.0,1.1042073367636104e-05
seller::6c1b6d0c604b776f844125f911eb7377,15.0,25.0,2.0167029959696167e-05
seller::63b464dbf392c7b80d12d932fa7cafed,35.0,195.0,0.00010484906195043457
seller::365e445f796710c3431557e85caa25db,15.0,25.0,2.163545904410432e-05
seller::e6a69c4a27dfdd98ffe5aa757ad744bc,30.0,125.0,6.96045900385011e-05
seller::3bdff180c7e1f6551a643b99c265a120,41.0,300.0,0.0001382981514171048
seller::24c1de8d9551c0b4fbc53317d53efda8,5.0,5.0,1.1339569710872383e-05
seller::77dcbb67ccb3659bd58eaf5661560a30,9.0,10.0,1.301425400361707e-05
